pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
74,2026-09..2026-10 (S3),3,1.0194263970879294,0.9922097502898697
75,2026-09..2026-10 (S3),3,0.941766287832194,0.9894888851717585
76,2026-09..2026-10 (S3),3,0.9912115666995461,0.9749363731263594
77,2026-09..2026-10 (S3),3,0.9867748054460369,0.9931197654563935
78,2026-09..2026-10 (S3),3,1.0013729242235974,0.9953627811114127
79,2026-09..2026-10 (S3),3,0.997940613664604,0.6664378459627338
79,2026-11..2026-12 (S1),1,0.6679333227068035,0.5666666666666667
80,2026-11..2026-12 (S1),1,0.7442890244949364,0.8700774700682015
81,2026-11..2026-12 (S1),1,0.9007675166054047,0.9044617452506685
82,2026-11..2026-12 (S1),1,0.9457194299856386,0.9094935212201326
83,2026-11..2026-12 (S1),1,0.8605975561634945,0.8894160511519312
84,2026-11..2026-12 (S1),1,0.8156040189197935,0.8994659366648062
85,2026-11..2026-12 (S1),1,0.9833024820860261,0.9438375089840745
86,2026-11..2026-12 (S1),1,0.9982100448661976,0.9942352767915862
87,2026-11..2026-12 (S1),1,1.001193303422535,1.0033778153349422
88,2026-11..2026-12 (S1),1,1.0107300977160942,0.6706411337128764
