pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
79,2026-11..2026-12 (S1),1,0.6607920439582534,0.5666666666666667
80,2026-11..2026-12 (S1),1,0.7957000769648617,0.8719040483933609
81,2026-11..2026-12 (S1),1,0.904398209983254,0.8830740975295546
82,2026-11..2026-12 (S1),1,0.8753230959922582,0.8830740975295546
83,2026-11..2026-12 (S1),1,0.783690971616317,0.875889425323286
84,2026-11..2026-12 (S1),1,0.8913962215647636,0.9071721478508146
85,2026-11..2026-12 (S1),1,0.9773583149911671,0.9550322131818362
86,2026-11..2026-12 (S1),1,0.9935801959930646,0.9917394601073961
87,2026-11..2026-12 (S1),1,1.0042798693379569,1.0011546027228797
88,2026-11..2026-12 (S1),1,1.0056037428376177,0.6699612040585248
